customer_id,payment_method,monthly_charges,total_charges
CUST0162,Credit card,97.22,2896.14
CUST0163,Electronic check,55.99,2776.48
CUST0164,Mailed check,21.23,76.3
CUST0165,Electronic check,36.72,1776.88
CUST0166,Electronic check,104.16,2696.15
CUST0167,Bank transfer,116.87,4887.68
CUST0168,Electronic check,37.99,596.61
CUST0169,Bank transfer,83.33,724.17
CUST0170,Credit card,99.07,5137.59
CUST0171,Bank transfer,30.59,143.4
CUST0172,Bank transfer,119.77,5747.24
CUST0173,Bank transfer,29.76,1212.6
CUST0174,Electronic check,44.39,588.91
CUST0175,Bank transfer,79.22,1890.16
CUST0176,Electronic check,72.77,5035.04
CUST0177,Bank transfer,51.32,1154.22
CUST0178,Mailed check,68.96,3412.03
CUST0179,Credit card,88.47,2203.31
CUST0180,Mailed check,74.97,336.17
CUST0181,Credit card,107.48,6079.58
CUST0182,Bank transfer,101.35,4591.29
CUST0183,Mailed check,101.52,3516.76
CUST0184,Credit card,34.22,663.42
CUST0185,Bank transfer,52.73,3430.43
CUST0186,Credit card,52.29,3586.37
CUST0187,Credit card,65.65,902.63
CUST0188,Electronic check,59.63,2127.23
CUST0189,Mailed check,101.71,1777.89
CUST0190,Electronic check,26.84,1106.77
CUST0191,Electronic check,55.15,3136.49
CUST0192,Bank transfer,49.55,153.66
CUST0193,,74.64,116.56
CUST0194,Electronic check,62.36,1736.31
CUST0195,Electronic check,89.87,1820.4
CUST0196,Bank transfer,115.3,2654.2
CUST0197,Mailed check,69.61,279.52
CUST0198,Mailed check,24.6,355.4
CUST0199,Credit card,31.94,1358.81
CUST0200,Electronic check,56.89,2084.09
CUST0201,Electronic check,43.3,
CUST0202,Electronic check,91.17,2420.89
CUST0203,Mailed check,79.19,827.32
CUST0204,Electronic check,97.99,4124.05
CUST0205,Mailed check,100.76,2700.94
CUST0206,Bank transfer,115.21,5911.17
CUST0207,Bank transfer,57.22,127.47
CUST0208,Electronic check,24.27,1379.49
CUST0209,Electronic check,108.34,5912.16
CUST0210,Mailed check,118.94,4310.03
CUST0211,Electronic check,100.87,3527.62
CUST0212,Credit card,25.59,842.93
CUST0213,Credit card,114.76,3563.92
CUST0214,Electronic check,20.07,1306.2
CUST0215,Bank transfer,116.06,335.54
CUST0216,Electronic check,89.36,5672.56
CUST0217,Credit card,59.16,1410.11
CUST0218,Electronic check,118.24,1622.15
CUST0219,Bank transfer,24.81,837.36
CUST0220,Mailed check,65.13,3221.29
CUST0221,Electronic check,117.8,5756.0
CUST0222,Electronic check,49.74,307.77
CUST0223,Bank transfer,22.57,237.92
CUST0224,Electronic check,57.1,3585.44
CUST0225,Bank transfer,117.07,945.53
CUST0226,Electronic check,91.43,2834.54
CUST0227,Credit card,118.83,2607.8
CUST0228,Mailed check,98.66,4945.31
CUST0229,Credit card,58.3,756.46
CUST0230,Electronic check,109.7,5546.72
CUST0231,Bank transfer,92.88,1682.34
CUST0232,Credit card,51.11,3425.05
CUST0233,Mailed check,90.46,701.08
CUST0234,Electronic check,36.35,2329.5
CUST0235,Electronic check,67.41,
CUST0236,Electronic check,66.67,
CUST0237,Electronic check,106.15,3903.66
CUST0238,Bank transfer,110.69,4528.75
CUST0239,Mailed check,55.85,3833.67
CUST0240,Mailed check,114.69,3939.42
CUST0241,Mailed check,67.22,2254.93
CUST0242,Credit card,51.64,1364.21
CUST0243,Bank transfer,98.52,5742.14
CUST0244,Bank transfer,109.2,571.68
CUST0245,Electronic check,26.53,1148.42
CUST0246,Electronic check,111.82,7035.0
CUST0247,Bank transfer,79.39,
CUST0248,Mailed check,62.09,953.54
CUST0249,Bank transfer,103.15,1697.71
CUST0250,Electronic check,34.91,2123.43
CUST0251,Electronic check,56.02,2146.44
CUST0252,Credit card,46.83,1053.57
CUST0253,Bank transfer,89.62,5512.3
CUST0254,Bank transfer,112.04,5451.25
CUST0255,Bank transfer,68.19,3016.73
CUST0256,Mailed check,95.14,1980.0
CUST0257,Mailed check,64.71,
CUST0258,Credit card,115.04,1366.81
CUST0259,Electronic check,54.14,2577.57
CUST0260,Bank transfer,65.7,3510.24
CUST0261,Mailed check,73.04,4191.18
CUST0262,Bank transfer,61.87,1062.69
CUST0263,Credit card,40.09,2137.19
CUST0264,Electronic check,78.28,5523.87
CUST0265,Electronic check,46.7,121.95
CUST0266,Credit card,43.76,
CUST0267,Electronic check,111.15,798.51
CUST0268,Bank transfer,57.72,3340.61
CUST0269,Credit card,98.99,1984.82
CUST0270,Mailed check,108.34,7058.43
CUST0271,Electronic check,88.26,158.61
CUST0272,Electronic check,71.39,4756.56
CUST0273,Mailed check,94.69,
CUST0274,,83.02,823.5
CUST0275,Electronic check,30.61,212.35
CUST0276,Mailed check,116.01,
CUST0277,Electronic check,41.01,65.15
CUST0278,Electronic check,84.47,2406.94
CUST0279,Bank transfer,51.78,1600.24
CUST0280,Electronic check,104.01,2251.65
CUST0281,Bank transfer,46.32,687.11
CUST0282,Electronic check,85.39,4405.14
CUST0283,Electronic check,95.72,6185.84
CUST0284,Mailed check,24.28,116.36
CUST0285,Electronic check,85.37,5706.32
CUST0286,Mailed check,36.56,1602.91
CUST0287,Electronic check,41.07,
CUST0288,Mailed check,71.66,4720.11
CUST0289,Credit card,103.04,2895.2
CUST0290,Electronic check,102.65,934.4
CUST0291,Credit card,72.2,4463.44
CUST0292,Electronic check,79.83,1042.16
CUST0293,Electronic check,30.66,23.27
CUST0294,Mailed check,57.02,2913.51
CUST0295,Mailed check,41.45,653.26
CUST0296,Credit card,26.41,-1.41
CUST0297,Credit card,40.17,
CUST0298,Electronic check,119.68,2660.93
CUST0299,Credit card,54.81,3937.84
CUST0300,Electronic check,114.7,2668.39
CUST0301,Bank transfer,65.88,4080.63
CUST0302,Mailed check,44.83,1304.2
CUST0303,Bank transfer,39.02,1389.41
CUST0304,Electronic check,87.58,4045.02
CUST0305,Credit card,38.29,1596.32
CUST0306,Electronic check,117.65,
CUST0307,Electronic check,67.13,3166.42
CUST0308,Electronic check,92.08,4818.57
CUST0309,Mailed check,104.94,211.58
CUST0310,Electronic check,64.99,828.34
CUST0311,Bank transfer,55.51,905.48
CUST0312,Bank transfer,62.18,1192.65
CUST0313,,94.79,3604.11
CUST0314,Bank transfer,30.3,
CUST0315,Electronic check,58.98,1978.26
CUST0316,Electronic check,33.51,1586.31
CUST0317,Electronic check,50.79,
CUST0318,Electronic check,114.7,4241.61
CUST0319,Credit card,91.49,4406.12
CUST0320,Mailed check,48.96,3391.93
CUST0321,Credit card,92.71,6370.27
CUST0322,Electronic check,46.65,2788.24
CUST0323,Bank transfer,93.76,1453.51
CUST0324,Electronic check,68.12,2704.68
CUST0325,Electronic check,98.91,5489.85
CUST0326,Mailed check,25.98,326.22
CUST0327,Electronic check,109.87,6261.12
CUST0328,Mailed check,73.11,3284.89
CUST0329,Bank transfer,92.1,2226.23
CUST0330,Bank transfer,103.52,3793.22
CUST0331,Bank transfer,80.6,5034.89
CUST0332,Credit card,72.9,5272.23
CUST0333,Mailed check,94.61,4757.13
CUST0334,Mailed check,110.25,2651.01
CUST0335,Electronic check,116.17,
CUST0336,Electronic check,111.91,113.04
CUST0337,Credit card,93.43,3012.12
CUST0338,Credit card,54.79,2168.52
CUST0339,Mailed check,70.24,3413.84
CUST0340,Electronic check,77.14,4274.77
CUST0341,Electronic check,44.23,772.77
CUST0342,Electronic check,36.93,1720.68
CUST0343,Bank transfer,114.89,5557.39
CUST0344,Mailed check,82.3,3588.13
CUST0345,Bank transfer,26.66,
CUST0346,Bank transfer,68.47,3364.74
CUST0347,Electronic check,54.68,1734.95
CUST0348,Credit card,42.56,1388.66
CUST0349,Mailed check,74.22,2271.5
CUST0350,Mailed check,97.0,6611.62
CUST0351,Bank transfer,50.33,980.83
CUST0352,Electronic check,33.41,1036.91
CUST0353,Electronic check,115.02,2387.68
CUST0354,Credit card,92.02,3854.26
CUST0355,Electronic check,71.87,4229.89
CUST0356,Electronic check,62.25,3559.56
CUST0357,Bank transfer,89.61,
CUST0358,Bank transfer,99.65,1217.64
CUST0359,Electronic check,111.23,7347.73
CUST0360,Credit card,109.85,4440.04
CUST0361,Mailed check,61.02,18.96
CUST0362,Bank transfer,53.11,1233.41
CUST0363,Electronic check,102.03,4821.25
CUST0364,Electronic check,77.14,5293.45
CUST0365,Mailed check,71.97,2963.96
CUST0366,Bank transfer,61.4,965.78
CUST0367,Mailed check,88.58,781.36
CUST0368,Mailed check,98.4,483.4
CUST0369,Credit card,104.07,4458.93
CUST0370,Bank transfer,47.15,665.93
CUST0371,Electronic check,70.6,1088.9
CUST0372,Credit card,92.46,3879.26
CUST0373,Electronic check,77.76,4646.81
CUST0374,Electronic check,74.25,1192.94
CUST0375,Electronic check,67.07,2700.35
CUST0376,Credit card,76.78,3491.17
CUST0377,Electronic check,59.21,1796.26
CUST0378,Mailed check,70.79,1052.42
CUST0379,Electronic check,26.61,1381.15
CUST0380,Bank transfer,52.54,485.17
CUST0381,Electronic check,95.71,6141.53
CUST0382,Bank transfer,119.03,4888.5
CUST0383,Electronic check,63.17,4557.26
CUST0384,,104.0,1837.43
CUST0385,Electronic check,109.36,6143.7
CUST0386,Mailed check,91.21,
CUST0387,Electronic check,71.69,4447.12
CUST0388,Electronic check,66.89,4683.57
CUST0389,Credit card,82.93,1832.27
CUST0390,Electronic check,81.58,874.9
CUST0391,Electronic check,38.08,2211.38
CUST0392,Electronic check,77.78,4156.52
CUST0393,,88.35,5378.36
CUST0394,Bank transfer,81.05,3338.26
CUST0395,Mailed check,51.33,
CUST0396,Electronic check,113.85,3317.31
CUST0397,Bank transfer,89.57,1498.02
CUST0398,Bank transfer,58.86,2521.72
CUST0399,Mailed check,81.4,4112.02
CUST0400,Mailed check,86.46,4991.32
CUST0401,Bank transfer,20.33,1183.9
CUST0402,Credit card,104.12,859.01
CUST0403,Bank transfer,93.53,4640.49
CUST0404,Mailed check,101.18,7129.26
CUST0405,Bank transfer,112.48,
CUST0406,Bank transfer,102.07,1694.92
CUST0407,Electronic check,32.08,948.73
CUST0408,Electronic check,89.63,2066.83
CUST0409,Mailed check,90.67,1913.44
CUST0410,Mailed check,79.63,1534.69
CUST0411,Credit card,97.03,1568.41
CUST0412,Credit card,40.96,917.22
CUST0413,Electronic check,61.91,272.35
CUST0414,Electronic check,34.49,1732.8
CUST0415,Electronic check,31.11,805.41
CUST0416,Mailed check,106.22,2308.48
CUST0417,Electronic check,114.63,
CUST0418,Credit card,69.53,4686.35
CUST0419,Bank transfer,117.64,1408.06
CUST0420,Electronic check,49.66,74.95
CUST0421,Credit card,58.3,462.94
CUST0422,Electronic check,52.05,2277.94
CUST0423,Electronic check,82.1,5366.49
CUST0424,Electronic check,107.5,1077.07
CUST0425,Bank transfer,107.18,5760.95
CUST0426,Mailed check,37.17,2503.56
CUST0427,Bank transfer,117.32,6955.81
CUST0428,,34.79,1177.7
CUST0429,Credit card,67.39,2741.97
CUST0430,Electronic check,60.16,3764.01
CUST0431,Electronic check,39.45,1401.98
CUST0432,Electronic check,41.57,2117.28
CUST0433,Electronic check,72.53,853.9
CUST0434,Bank transfer,48.95,2936.06
CUST0435,Electronic check,85.38,124.65
CUST0436,Credit card,76.56,2792.99
CUST0437,Electronic check,36.33,740.2
CUST0438,Electronic check,107.24,2713.68
CUST0439,Mailed check,54.03,1067.65
CUST0440,Electronic check,54.82,3253.49
CUST0441,Credit card,50.74,1949.84
CUST0442,Electronic check,31.89,
CUST0443,Electronic check,55.22,1471.23
CUST0444,Credit card,112.42,3189.81
CUST0445,Mailed check,66.59,3264.88
CUST0446,Electronic check,42.59,2716.49
CUST0447,Mailed check,31.92,53.32
CUST0448,Credit card,47.85,1265.45
CUST0449,Mailed check,32.22,1674.37
CUST0450,Electronic check,82.2,288.43
CUST0451,Electronic check,119.07,7658.49
CUST0452,Credit card,63.07,1431.86
CUST0453,Mailed check,81.69,
CUST0454,Bank transfer,119.19,467.95
CUST0455,Electronic check,66.09,631.15
CUST0456,Electronic check,89.09,4336.0
CUST0457,Bank transfer,27.53,
CUST0458,Mailed check,76.64,922.79
CUST0459,Mailed check,108.09,7579.08
CUST0460,Credit card,113.46,7851.4
CUST0461,Credit card,46.69,2453.27
CUST0462,Credit card,84.69,
CUST0463,Mailed check,80.16,517.68
CUST0464,Mailed check,108.46,1600.71
CUST0465,Electronic check,63.95,1957.88
CUST0466,Credit card,56.3,1823.17
CUST0467,Electronic check,73.49,2251.83
CUST0468,Credit card,107.95,3373.12
CUST0469,Electronic check,89.85,4762.68
CUST0470,Bank transfer,20.31,51.25
CUST0471,Electronic check,37.35,1988.85
CUST0472,Electronic check,117.41,3374.72
CUST0473,Electronic check,102.73,2259.47
CUST0474,Mailed check,92.67,5899.82
CUST0475,Electronic check,21.03,1183.06
CUST0476,Mailed check,110.82,3706.73
CUST0477,Electronic check,107.79,7724.07
CUST0478,Credit card,110.28,7034.24
CUST0479,Credit card,38.89,733.26
CUST0480,Credit card,31.25,209.48
CUST0481,Mailed check,72.6,4798.68
CUST0482,Bank transfer,35.38,1267.17
CUST0483,Bank transfer,106.33,6197.3
CUST0484,Electronic check,22.05,1117.42
CUST0485,Mailed check,55.9,2139.71
CUST0486,Mailed check,83.07,4528.14
CUST0487,Mailed check,110.72,7526.72
CUST0488,Credit card,29.45,222.24
CUST0489,Electronic check,107.68,6440.56
CUST0490,Credit card,73.44,1713.14
CUST0491,Credit card,32.51,1479.36
CUST0492,Mailed check,50.09,948.05
CUST0493,Mailed check,25.09,1481.28
CUST0494,Mailed check,91.43,5762.92
CUST0495,Credit card,36.13,564.57
CUST0496,Electronic check,99.6,6005.98
CUST0497,Bank transfer,50.37,1129.45
CUST0498,Electronic check,76.2,4951.64
CUST0499,Electronic check,116.26,7698.74
CUST0500,Electronic check,92.83,1320.44
CUST0501,Electronic check,96.92,1695.22
CUST0502,Bank transfer,100.18,3197.1
CUST0503,Electronic check,53.83,3058.48
CUST0504,Credit card,60.2,499.69
CUST0505,Bank transfer,84.39,3076.8
CUST0506,Electronic check,41.37,456.24
CUST0507,Credit card,45.98,1793.97
CUST0508,Credit card,76.56,3408.07
CUST0509,Electronic check,65.43,3170.73
CUST0510,Bank transfer,78.43,4562.59
CUST0511,Bank transfer,65.54,4213.36
CUST0512,Electronic check,50.49,795.29
CUST0513,Electronic check,32.23,1274.06
CUST0514,Mailed check,34.9,616.09
CUST0515,Bank transfer,106.6,7482.72
CUST0516,Mailed check,116.24,7765.58
CUST0517,Mailed check,63.7,4386.79
CUST0518,Bank transfer,25.89,538.02
CUST0519,Credit card,43.96,1856.02
CUST0520,Mailed check,111.37,4518.03
CUST0521,Credit card,74.04,3890.94
CUST0522,Bank transfer,26.02,1603.38
CUST0523,Electronic check,28.97,1931.86
CUST0524,,86.23,3776.28
CUST0525,Electronic check,75.58,95.23
CUST0526,Credit card,117.2,456.44
CUST0527,Mailed check,88.06,4247.8
CUST0528,Electronic check,39.61,2567.15
CUST0529,Electronic check,108.1,2509.19
CUST0530,Electronic check,63.25,4603.51
CUST0531,Credit card,59.19,1699.98
CUST0532,Electronic check,63.19,1342.58
CUST0533,Electronic check,82.53,3556.68
CUST0534,Credit card,30.18,468.64
CUST0535,Mailed check,85.09,187.76
CUST0536,Credit card,32.6,294.29
CUST0537,Electronic check,78.37,474.33
CUST0538,Mailed check,54.38,1080.87
CUST0539,Mailed check,52.86,2233.46
CUST0540,,53.15,1512.21
CUST0541,Electronic check,117.53,440.03
CUST0542,Credit card,22.1,592.35
CUST0543,Electronic check,31.85,1025.62
CUST0544,Electronic check,98.96,5425.57
CUST0545,Bank transfer,95.13,1060.94
CUST0546,Mailed check,40.72,2564.13
CUST0547,Electronic check,43.02,1373.77
CUST0548,Electronic check,84.54,5396.47
CUST0549,Electronic check,87.51,1112.63
CUST0550,Electronic check,114.58,4500.81
CUST0551,Electronic check,54.07,1580.69
CUST0552,Mailed check,101.04,437.59
CUST0553,Electronic check,118.02,324.48
CUST0554,Electronic check,22.68,854.42
CUST0555,Electronic check,35.7,1674.67
CUST0556,Credit card,78.75,
CUST0557,Credit card,77.61,2507.25
CUST0558,Electronic check,58.47,1360.72
CUST0559,Credit card,61.13,4244.16
CUST0560,Electronic check,83.89,4883.18
CUST0561,Credit card,66.14,2140.87
CUST0562,Electronic check,27.76,109.64
CUST0563,Credit card,89.03,617.61
CUST0564,Mailed check,53.71,1365.68
CUST0565,Mailed check,82.47,1857.77
CUST0566,Electronic check,26.6,84.71
CUST0567,Credit card,79.99,5567.45
CUST0568,,58.24,2401.9
CUST0569,Bank transfer,57.45,1760.61
CUST0570,Electronic check,84.8,3625.25
CUST0571,Bank transfer,38.35,1240.18
CUST0572,Mailed check,70.74,1195.2
CUST0573,Credit card,115.1,4244.66
CUST0574,Bank transfer,105.4,2133.89
CUST0575,Electronic check,33.67,
CUST0576,Credit card,57.31,
CUST0577,Bank transfer,83.5,4662.82
CUST0578,Bank transfer,80.54,3829.81
CUST0579,Bank transfer,59.77,905.17
CUST0580,Mailed check,95.25,3757.18
CUST0581,Electronic check,20.16,501.3
CUST0582,Electronic check,76.71,1812.3
CUST0583,Electronic check,47.68,651.74
CUST0584,Bank transfer,57.57,59.58
CUST0585,Credit card,86.51,3794.28
CUST0586,Credit card,115.11,6010.86
CUST0587,Bank transfer,52.22,1318.88
CUST0588,Credit card,67.61,759.54
CUST0589,Electronic check,109.64,7062.47
CUST0590,Electronic check,52.65,2936.75
CUST0591,Bank transfer,113.18,2063.87
CUST0592,Mailed check,49.1,3496.34
CUST0593,Mailed check,104.71,4341.09
CUST0594,Credit card,69.98,3564.56
CUST0595,Credit card,69.5,2869.91
CUST0596,Electronic check,92.74,2669.37
CUST0597,Mailed check,29.73,1498.57
CUST0598,Electronic check,56.22,3521.25
CUST0599,Mailed check,31.73,414.03
CUST0600,Mailed check,97.58,1610.4
CUST0601,Electronic check,78.69,206.11
CUST0602,Electronic check,101.29,5624.21
CUST0603,Credit card,75.47,2067.74
CUST0604,Electronic check,117.71,604.37
CUST0605,Mailed check,88.79,6142.77
CUST0606,Electronic check,74.98,5299.65
CUST0607,Bank transfer,89.68,2390.62
CUST0608,Bank transfer,47.01,943.35
CUST0609,Electronic check,42.22,1269.56
CUST0610,Mailed check,109.66,7423.95
CUST0611,Bank transfer,57.88,1007.5
CUST0612,Electronic check,99.85,5392.12
CUST0613,Mailed check,27.67,306.04
CUST0614,Mailed check,69.78,158.07
CUST0615,Bank transfer,116.46,6422.75
CUST0616,Electronic check,53.8,2976.91
CUST0617,Bank transfer,113.54,
CUST0618,Bank transfer,63.08,32.83
CUST0619,Electronic check,73.64,2407.07
CUST0620,Bank transfer,33.37,1527.13
CUST0621,Mailed check,95.11,5163.97
CUST0622,Electronic check,25.2,385.78
CUST0623,Electronic check,48.11,490.71
CUST0624,Mailed check,32.05,438.83
CUST0625,Mailed check,53.62,373.26
CUST0626,Credit card,86.04,4628.32
CUST0627,Electronic check,56.06,2665.82
CUST0628,Bank transfer,90.47,1309.13
CUST0629,Electronic check,109.49,2184.65
CUST0630,Electronic check,94.07,3376.27
CUST0631,Electronic check,79.21,3911.39
CUST0632,Electronic check,23.91,801.66
CUST0633,Electronic check,28.32,785.19
CUST0634,Electronic check,37.67,122.5
CUST0635,Electronic check,42.06,2037.82
CUST0636,Mailed check,76.97,
CUST0637,,92.43,2274.48
CUST0638,Bank transfer,115.76,655.19
CUST0639,Mailed check,22.12,418.97
CUST0640,Electronic check,112.17,467.12
CUST0641,Credit card,109.56,4721.53
CUST0642,Electronic check,86.17,3403.92
CUST0643,Bank transfer,31.32,587.83
CUST0644,Mailed check,80.17,3300.63
CUST0645,,72.69,5043.27
CUST0646,Electronic check,104.88,7588.04
CUST0647,Electronic check,90.4,2609.35
CUST0648,Electronic check,76.92,1646.69
CUST0649,Mailed check,31.13,1605.89
CUST0650,Credit card,70.19,4162.15
CUST0651,Electronic check,67.74,1911.99
CUST0652,Electronic check,43.95,1504.53
CUST0653,Electronic check,24.57,620.28
CUST0654,,60.73,3121.38
CUST0655,Electronic check,108.44,572.95
CUST0656,Electronic check,109.07,1881.61
CUST0657,Credit card,29.41,40.19
CUST0658,Mailed check,113.98,6771.99
CUST0659,Bank transfer,70.59,3294.01
CUST0660,Electronic check,58.82,819.71
CUST0661,Electronic check,59.69,649.9
CUST0662,Mailed check,84.02,5107.24
CUST0663,Electronic check,46.98,2644.45
CUST0664,Credit card,109.5,7438.85
CUST0665,Bank transfer,27.78,1572.48
CUST0666,Credit card,99.2,
CUST0667,Mailed check,89.64,5226.56
CUST0668,Credit card,84.89,3985.43
CUST0669,Electronic check,58.16,1372.19
CUST0670,Electronic check,30.37,450.17
CUST0671,Mailed check,115.06,3206.74
CUST0672,Mailed check,103.85,
CUST0673,Credit card,37.04,748.02
CUST0674,Bank transfer,37.37,2095.77
CUST0675,Bank transfer,40.38,2018.71
CUST0676,Bank transfer,83.45,4116.81
CUST0677,Bank transfer,83.84,4116.1
CUST0678,Mailed check,30.07,751.22
CUST0679,Mailed check,110.36,4540.73
CUST0680,Credit card,71.8,4836.7
CUST0681,Credit card,115.32,1253.38
