customer_id,tenure_months,contract_type,internet_service,online_security,tech_support,join_date,churn
CUST0103,37,Month-to-month,DSL,No,Yes,2025-01-02,Yes
CUST0104,1,One year,DSL,Yes,No,2024-11-05,No
CUST0105,50,Two year,DSL,Yes,No,2022-08-01,No
CUST0106,44,One year,Fiber optic,No,No,2022-05-10,No
CUST0107,26,Two year,DSL,No,No,2023-01-27,Yes
CUST0108,16,One year,DSL,No,No,2024-10-15,No
CUST0109,56,One year,Fiber optic,No,Yes,2023-09-20,No
CUST0110,6,One year,Fiber optic,No,No,2022-04-28,Yes
CUST0111,19,One year,DSL,Yes,Yes,2024-01-12,No
CUST0112,48,Month-to-month,DSL,No,No,2022-08-21,Yes
CUST0113,34,One year,Fiber optic,No,Yes,2024-07-14,Yes
CUST0114,45,One year,DSL,No,Yes,2022-12-23,No
CUST0115,64,Month-to-month,DSL,Yes,Yes,2024-09-07,No
CUST0116,10,Month-to-month,DSL,Yes,Yes,2022-04-24,No
CUST0117,29,Month-to-month,Fiber optic,Yes,No,2023-07-17,Yes
CUST0118,20,Month-to-month,,No,No,2022-03-26,No
CUST0119,27,One year,Fiber optic,No,No,2023-05-17,No
CUST0120,57,Month-to-month,DSL,Yes,No,2023-12-09,No
CUST0121,31,Month-to-month,DSL,Yes,Yes,2024-05-06,Yes
CUST0122,21,Month-to-month,DSL,No,No,2024-11-01,Yes
CUST0123,64,Month-to-month,Fiber optic,No,Yes,2023-06-26,No
CUST0124,72,Month-to-month,DSL,No,No,2022-09-01,Yes
CUST0125,19,Month-to-month,Fiber optic,Yes,Yes,2024-08-28,Yes
CUST0126,41,Month-to-month,Fiber optic,No,No,2024-09-30,No
CUST0127,15,Two year,Fiber optic,Yes,No,2023-04-12,No
CUST0128,32,Month-to-month,DSL,Yes,No,2023-02-22,Yes
CUST0129,18,Month-to-month,,No,No,2022-12-21,Yes
CUST0130,62,Month-to-month,Fiber optic,Yes,No,2024-09-28,Yes
CUST0131,16,Month-to-month,Fiber optic,No,No,2023-08-18,Yes
CUST0132,62,Month-to-month,DSL,No,Yes,2023-05-06,Yes
CUST0133,13,Month-to-month,DSL,Yes,Yes,2022-11-20,Yes
CUST0134,37,Month-to-month,,No,No,2024-12-31,No
CUST0135,5,Two year,DSL,No,Yes,2022-08-08,No
CUST0136,65,Month-to-month,DSL,Yes,No,2022-01-29,No
CUST0137,52,One year,DSL,Yes,Yes,2023-05-24,Yes
CUST0138,2,Month-to-month,DSL,Yes,No,2024-10-26,No
CUST0139,38,Month-to-month,,No,No,2024-02-05,Yes
CUST0140,32,One year,Fiber optic,No,No,2022-05-07,No
CUST0141,42,Two year,Fiber optic,No,Yes,2022-04-24,No
CUST0142,40,One year,Fiber optic,Yes,Yes,2022-05-11,No
CUST0143,53,Month-to-month,Fiber optic,No,No,2024-02-13,Yes
CUST0144,45,Month-to-month,DSL,Yes,Yes,2023-09-04,Yes
CUST0145,59,Month-to-month,,No,No,2024-05-08,Yes
CUST0146,13,Month-to-month,Fiber optic,Yes,Yes,2023-04-25,Yes
CUST0147,41,Month-to-month,Fiber optic,Yes,No,2024-12-03,Yes
CUST0148,55,Month-to-month,DSL,No,No,2023-09-07,Yes
CUST0149,19,One year,Fiber optic,No,Yes,2023-11-08,No
CUST0150,35,Month-to-month,DSL,Yes,Yes,2025-02-18,Yes
CUST0151,25,Two year,,No,No,2023-02-23,Yes
CUST0152,69,One year,DSL,No,No,2024-08-19,No
CUST0153,29,One year,Fiber optic,No,No,2024-02-17,Yes
CUST0154,63,Two year,DSL,Yes,No,2024-09-27,Yes
CUST0155,7,One year,Fiber optic,Yes,Yes,2024-11-01,Yes
CUST0156,63,Month-to-month,DSL,Yes,No,2024-10-25,No
CUST0157,68,Month-to-month,Fiber optic,No,No,2024-04-11,Yes
CUST0158,5,Month-to-month,Fiber optic,Yes,Yes,2024-06-07,Yes
CUST0159,28,Two year,Fiber optic,No,Yes,2023-07-29,No
CUST0160,27,Month-to-month,Fiber optic,No,Yes,2024-03-07,Yes
CUST0161,11,Month-to-month,DSL,No,Yes,2024-03-23,No
CUST0162,30,Month-to-month,DSL,No,Yes,2023-05-20,No
CUST0163,50,Month-to-month,DSL,No,No,2022-09-29,Yes
CUST0164,4,Month-to-month,Fiber optic,No,No,2022-06-23,Yes
CUST0165,49,Month-to-month,DSL,Yes,Yes,2023-09-06,Yes
CUST0166,26,Month-to-month,DSL,No,No,2023-11-06,Yes
CUST0167,42,One year,DSL,Yes,No,2024-10-02,No
CUST0168,15,Two year,,No,No,2022-02-25,No
CUST0169,9,One year,DSL,No,Yes,2022-11-12,No
CUST0170,52,Month-to-month,Fiber optic,No,Yes,2025-01-04,Yes
CUST0171,6,Month-to-month,Fiber optic,No,No,2023-03-31,Yes
CUST0172,48,Month-to-month,Fiber optic,Yes,No,2023-08-29,Yes
CUST0173,40,Month-to-month,Fiber optic,No,No,2024-07-15,Yes
CUST0174,14,One year,,No,No,2022-11-24,Yes
CUST0175,24,Month-to-month,DSL,Yes,No,2023-03-16,Yes
CUST0176,69,Month-to-month,DSL,No,No,2024-03-06,Yes
CUST0177,23,One year,DSL,Yes,Yes,2022-08-28,Yes
CUST0178,50,Month-to-month,Fiber optic,Yes,Yes,2023-10-07,No
CUST0179,25,One year,Fiber optic,No,No,2024-06-28,No
CUST0180,5,Month-to-month,DSL,No,No,2022-08-22,Yes
CUST0181,57,Month-to-month,DSL,Yes,No,2023-06-23,Yes
CUST0182,45,Two year,DSL,Yes,Yes,2023-12-20,No
CUST0183,35,Two year,,No,No,2024-04-22,No
CUST0184,19,One year,Fiber optic,No,No,2024-04-28,Yes
CUST0185,66,One year,Fiber optic,No,No,2022-07-10,No
CUST0186,69,Month-to-month,Fiber optic,No,No,2025-01-25,Yes
CUST0187,13,One year,DSL,Yes,No,2024-05-26,No
CUST0188,36,Month-to-month,DSL,Yes,Yes,2023-04-25,Yes
CUST0189,17,Month-to-month,DSL,Yes,No,2024-05-14,No
CUST0190,41,Month-to-month,DSL,Yes,Yes,2022-12-03,Yes
CUST0191,57,Two year,DSL,Yes,No,2022-10-14,Yes
CUST0192,4,One year,DSL,Yes,No,2023-05-06,No
CUST0193,2,Two year,DSL,No,No,2024-08-22,No
CUST0194,28,Month-to-month,Fiber optic,No,No,2025-01-03,Yes
CUST0195,20,Month-to-month,Fiber optic,Yes,No,2023-05-04,Yes
CUST0196,23,Month-to-month,Fiber optic,Yes,No,2023-06-15,Yes
CUST0197,4,Month-to-month,Fiber optic,No,Yes,2022-04-24,Yes
CUST0198,15,Month-to-month,DSL,Yes,Yes,2022-11-04,Yes
CUST0199,42,Month-to-month,DSL,Yes,No,2022-04-18,Yes
CUST0200,37,One year,DSL,No,Yes,2023-09-15,No
CUST0201,70,One year,DSL,No,Yes,2022-01-20,No
CUST0202,27,Month-to-month,DSL,Yes,Yes,2023-04-20,No
CUST0203,11,Month-to-month,Fiber optic,No,Yes,2022-09-25,Yes
CUST0204,42,Month-to-month,DSL,Yes,Yes,2022-11-15,Yes
CUST0205,27,Month-to-month,Fiber optic,Yes,Yes,2022-03-24,Yes
CUST0206,51,Month-to-month,DSL,Yes,Yes,2025-02-12,No
CUST0207,2,Month-to-month,DSL,Yes,No,2022-06-22,Yes
CUST0208,57,One year,Fiber optic,No,Yes,2022-12-11,No
CUST0209,55,Month-to-month,DSL,No,No,2023-05-19,Yes
CUST0210,36,Month-to-month,Fiber optic,Yes,Yes,2024-01-06,Yes
CUST0211,35,Month-to-month,DSL,No,Yes,2024-01-03,Yes
CUST0212,31,Month-to-month,,No,No,2023-03-26,Yes
CUST0213,31,Month-to-month,Fiber optic,Yes,No,2025-02-27,No
CUST0214,63,Month-to-month,Fiber optic,Yes,No,2023-02-17,No
CUST0215,3,Month-to-month,DSL,Yes,No,2024-03-21,Yes
CUST0216,63,One year,,No,No,2024-01-01,Yes
CUST0217,23,One year,,No,No,2022-03-08,Yes
CUST0218,14,Two year,Fiber optic,Yes,No,2022-07-01,No
CUST0219,34,Month-to-month,DSL,Yes,Yes,2024-05-09,No
CUST0220,49,Month-to-month,Fiber optic,Yes,Yes,2022-03-10,Yes
CUST0221,49,Month-to-month,,No,No,2024-09-15,Yes
CUST0222,7,Month-to-month,DSL,No,No,2024-03-15,Yes
CUST0223,12,Month-to-month,Fiber optic,Yes,Yes,2023-08-21,No
CUST0224,63,Two year,Fiber optic,No,Yes,2023-01-18,Yes
CUST0225,8,Month-to-month,DSL,No,No,2025-02-07,Yes
CUST0226,31,Month-to-month,,No,No,2024-11-24,No
CUST0227,22,Two year,DSL,No,Yes,2022-10-30,No
CUST0228,50,Month-to-month,Fiber optic,No,Yes,2024-12-06,No
CUST0229,13,One year,Fiber optic,No,No,2024-08-26,Yes
CUST0230,51,Two year,DSL,No,No,2023-09-13,Yes
CUST0231,18,Month-to-month,Fiber optic,No,No,2022-07-02,Yes
CUST0232,67,Two year,Fiber optic,Yes,Yes,2022-10-05,No
CUST0233,8,Month-to-month,,No,No,2024-08-08,Yes
CUST0234,63,Month-to-month,Fiber optic,No,No,2022-07-05,Yes
CUST0235,29,One year,DSL,Yes,Yes,2022-12-21,No
CUST0236,36,Month-to-month,DSL,No,Yes,2024-03-24,Yes
CUST0237,37,Month-to-month,DSL,No,No,2023-09-04,Yes
CUST0238,41,One year,Fiber optic,No,No,2022-03-14,No
CUST0239,69,One year,,No,No,2022-12-15,No
CUST0240,34,One year,,No,No,2022-07-02,Yes
CUST0241,34,Month-to-month,DSL,Yes,Yes,2022-09-03,No
CUST0242,26,Month-to-month,Fiber optic,No,Yes,2022-06-15,Yes
CUST0243,58,Month-to-month,DSL,Yes,No,2022-09-23,No
CUST0244,5,Month-to-month,,No,No,2024-12-23,Yes
CUST0245,45,Month-to-month,Fiber optic,No,Yes,2023-08-19,Yes
CUST0246,63,Month-to-month,,No,No,2023-04-13,Yes
CUST0247,47,One year,DSL,No,Yes,2022-08-10,No
CUST0248,16,Month-to-month,DSL,Yes,No,2024-12-01,Yes
CUST0249,16,Month-to-month,DSL,Yes,No,2024-01-04,No
CUST0250,62,Month-to-month,Fiber optic,Yes,No,2024-11-13,Yes
CUST0251,38,Month-to-month,Fiber optic,Yes,No,2024-05-22,Yes
CUST0252,22,Month-to-month,,No,No,2024-02-03,No
CUST0253,62,One year,Fiber optic,Yes,Yes,2022-11-23,Yes
CUST0254,49,One year,Fiber optic,Yes,No,2024-04-22,No
CUST0255,44,Month-to-month,Fiber optic,No,Yes,2024-02-28,Yes
CUST0256,21,Month-to-month,DSL,Yes,Yes,2023-11-09,No
CUST0257,31,Month-to-month,Fiber optic,Yes,No,2024-10-15,No
CUST0258,12,One year,Fiber optic,Yes,No,2022-04-22,No
CUST0259,47,One year,Fiber optic,Yes,Yes,2023-08-21,No
CUST0260,53,Month-to-month,DSL,No,Yes,2023-11-24,Yes
CUST0261,58,Month-to-month,Fiber optic,No,Yes,2024-06-05,No
CUST0262,17,Month-to-month,Fiber optic,No,No,2023-05-24,Yes
CUST0263,53,One year,Fiber optic,No,Yes,2023-08-19,No
CUST0264,70,One year,DSL,No,No,2024-05-04,No
CUST0265,2,Month-to-month,DSL,Yes,Yes,2023-08-10,Yes
CUST0266,70,Month-to-month,DSL,Yes,No,2023-08-13,No
CUST0267,7,Month-to-month,Fiber optic,No,Yes,2024-01-24,Yes
CUST0268,58,Month-to-month,DSL,Yes,Yes,2025-02-13,Yes
CUST0269,20,Month-to-month,Fiber optic,No,No,2022-05-30,No
CUST0270,65,Month-to-month,DSL,No,Yes,2023-11-10,Yes
CUST0271,2,Month-to-month,DSL,Yes,Yes,2022-08-21,Yes
CUST0272,66,Month-to-month,Fiber optic,Yes,No,2022-12-09,No
CUST0273,28,Two year,DSL,No,Yes,2024-07-29,No
CUST0274,10,Month-to-month,DSL,No,No,2022-02-04,Yes
CUST0275,6,One year,,No,No,2023-09-10,Yes
CUST0276,4,Month-to-month,DSL,No,No,2024-02-04,No
CUST0277,1,Month-to-month,Fiber optic,Yes,No,2023-12-06,Yes
CUST0278,29,One year,DSL,Yes,No,2022-05-18,Yes
CUST0279,31,Month-to-month,,No,No,2023-09-19,No
CUST0280,22,Month-to-month,DSL,No,No,2023-11-11,No
CUST0281,14,Month-to-month,Fiber optic,Yes,Yes,2022-06-06,No
CUST0282,52,One year,DSL,No,No,2024-03-14,Yes
CUST0283,65,Month-to-month,Fiber optic,Yes,Yes,2022-11-23,Yes
CUST0284,6,Month-to-month,DSL,No,Yes,2024-01-10,Yes
CUST0285,67,One year,Fiber optic,Yes,No,2022-06-09,No
CUST0286,45,Month-to-month,Fiber optic,Yes,No,2023-07-30,Yes
CUST0287,30,Month-to-month,DSL,No,No,2024-04-21,Yes
CUST0288,66,Month-to-month,DSL,No,Yes,2025-02-28,No
CUST0289,28,Month-to-month,Fiber optic,Yes,Yes,2023-01-08,No
CUST0290,9,Month-to-month,DSL,Yes,No,2022-12-30,Yes
CUST0291,62,One year,Fiber optic,Yes,No,2022-03-30,No
CUST0292,13,Month-to-month,Fiber optic,Yes,No,2023-06-12,Yes
CUST0293,1,Month-to-month,Fiber optic,No,No,2023-06-04,Yes
CUST0294,51,One year,Fiber optic,No,Yes,2023-06-04,No
CUST0295,16,One year,Fiber optic,Yes,Yes,2023-11-25,No
CUST0296,1,One year,DSL,No,Yes,2022-06-13,No
CUST0297,8,Two year,Fiber optic,No,Yes,2024-11-27,Yes
CUST0298,22,One year,Fiber optic,Yes,Yes,2023-12-25,No
CUST0299,71,Month-to-month,,No,No,2023-07-21,Yes
CUST0300,23,Month-to-month,DSL,No,No,2023-06-12,No
CUST0301,62,One year,,No,No,2022-02-26,No
CUST0302,30,One year,DSL,Yes,No,2023-12-02,Yes
CUST0303,35,Month-to-month,,No,No,2023-04-26,No
CUST0304,46,Month-to-month,,No,No,2022-01-14,Yes
CUST0305,41,Month-to-month,Fiber optic,No,No,2024-11-12,Yes
CUST0306,70,Month-to-month,Fiber optic,Yes,No,2024-07-31,Yes
CUST0307,47,One year,Fiber optic,Yes,No,2024-01-20,Yes
CUST0308,52,Month-to-month,DSL,Yes,Yes,2025-02-11,Yes
CUST0309,2,Month-to-month,,No,No,2023-10-09,Yes
CUST0310,13,One year,Fiber optic,No,Yes,2024-01-10,Yes
CUST0311,16,Month-to-month,Fiber optic,Yes,No,2024-09-25,No
CUST0312,19,Two year,,No,No,2024-04-08,No
CUST0313,38,One year,DSL,No,No,2024-07-11,No
CUST0314,33,Two year,DSL,Yes,No,2024-08-27,No
CUST0315,34,One year,,No,No,2023-08-05,Yes
CUST0316,46,Two year,DSL,No,No,2025-01-09,Yes
CUST0317,69,Month-to-month,Fiber optic,Yes,No,2022-11-15,Yes
CUST0318,37,Month-to-month,,No,No,2022-01-19,Yes
CUST0319,48,Month-to-month,DSL,Yes,Yes,2024-02-14,Yes
CUST0320,69,One year,Fiber optic,Yes,Yes,2024-07-16,Yes
CUST0321,69,Month-to-month,DSL,Yes,No,2022-11-05,Yes
CUST0322,60,One year,DSL,Yes,Yes,2025-01-17,No
CUST0323,16,Two year,DSL,No,Yes,2024-08-01,No
CUST0324,40,Two year,Fiber optic,Yes,No,2024-01-09,No
CUST0325,56,Month-to-month,DSL,Yes,No,2022-03-28,Yes
CUST0326,12,Month-to-month,Fiber optic,No,Yes,2025-01-03,No
CUST0327,57,One year,DSL,Yes,No,2024-06-15,No
CUST0328,45,Month-to-month,Fiber optic,Yes,Yes,2023-06-24,Yes
CUST0329,24,Two year,DSL,Yes,No,2025-01-08,No
CUST0330,37,Month-to-month,DSL,Yes,Yes,2022-03-06,Yes
CUST0331,63,Month-to-month,DSL,No,Yes,2023-03-04,No
CUST0332,72,One year,Fiber optic,Yes,No,2023-09-15,Yes
CUST0333,50,Month-to-month,DSL,Yes,No,2024-01-04,No
CUST0334,24,Month-to-month,Fiber optic,No,No,2023-10-27,No
CUST0335,31,Month-to-month,Fiber optic,No,No,2024-03-24,Yes
CUST0336,1,Month-to-month,Fiber optic,Yes,No,2022-11-13,Yes
CUST0337,32,Month-to-month,DSL,No,Yes,2024-09-15,Yes
CUST0338,39,Month-to-month,DSL,Yes,No,2024-05-03,No
CUST0339,49,Month-to-month,DSL,Yes,No,2022-04-14,No
CUST0340,56,Month-to-month,DSL,Yes,No,2024-03-28,Yes
CUST0341,18,Month-to-month,DSL,Yes,Yes,2024-05-30,Yes
CUST0342,47,Month-to-month,Fiber optic,Yes,No,2024-06-24,Yes
CUST0343,48,Month-to-month,DSL,Yes,Yes,2023-08-13,Yes
CUST0344,43,Month-to-month,DSL,No,No,2022-02-07,Yes
CUST0345,37,Month-to-month,DSL,No,Yes,2024-01-08,No
CUST0346,49,Month-to-month,,No,No,2022-06-30,Yes
CUST0347,32,Two year,DSL,Yes,Yes,2023-09-12,Yes
CUST0348,33,Two year,Fiber optic,Yes,No,2024-03-15,No
CUST0349,31,Month-to-month,DSL,No,No,2022-10-11,Yes
CUST0350,68,Two year,,No,No,2022-11-20,No
CUST0351,19,One year,Fiber optic,No,No,2023-07-15,Yes
CUST0352,30,Month-to-month,DSL,Yes,No,2024-08-18,No
CUST0353,21,Month-to-month,Fiber optic,Yes,No,2023-02-20,Yes
CUST0354,42,Two year,DSL,Yes,No,2025-01-03,No
CUST0355,59,One year,,No,No,2022-03-22,No
CUST0356,57,Month-to-month,Fiber optic,No,Yes,2022-04-22,Yes
CUST0357,65,Month-to-month,,No,No,2024-04-26,Yes
CUST0358,12,Month-to-month,,No,No,2022-09-11,Yes
CUST0359,66,One year,Fiber optic,Yes,Yes,2022-11-04,Yes
CUST0360,40,One year,DSL,Yes,Yes,2022-01-08,No
CUST0361,1,One year,DSL,No,No,2022-01-14,Yes
CUST0362,24,Month-to-month,DSL,Yes,No,2022-08-12,Yes
CUST0363,47,Two year,DSL,No,No,2025-02-01,Yes
CUST0364,68,Month-to-month,DSL,Yes,Yes,2024-12-19,No
CUST0365,41,Month-to-month,Fiber optic,Yes,No,2024-10-05,No
CUST0366,16,Month-to-month,DSL,Yes,No,2025-02-21,No
CUST0367,9,Month-to-month,DSL,Yes,Yes,2022-03-01,No
CUST0368,5,One year,Fiber optic,No,No,2022-04-25,No
CUST0369,43,One year,DSL,Yes,No,2024-02-08,No
CUST0370,15,Two year,Fiber optic,No,Yes,2023-05-02,Yes
CUST0371,15,Month-to-month,DSL,Yes,No,2024-10-21,Yes
CUST0372,42,Month-to-month,Fiber optic,Yes,Yes,2024-12-05,Yes
CUST0373,60,Two year,Fiber optic,No,Yes,2023-03-06,Yes
CUST0374,16,Month-to-month,DSL,Yes,Yes,2023-07-10,Yes
CUST0375,40,One year,DSL,Yes,Yes,2022-08-05,Yes
CUST0376,46,Month-to-month,Fiber optic,Yes,No,2024-08-17,Yes
CUST0377,30,Two year,Fiber optic,No,No,2023-11-08,No
CUST0378,15,Month-to-month,DSL,No,Yes,2022-08-08,Yes
CUST0379,53,Month-to-month,DSL,No,No,2024-06-01,Yes
CUST0380,10,One year,Fiber optic,Yes,No,2024-06-30,Yes
CUST0381,64,One year,DSL,Yes,Yes,2024-07-16,No
CUST0382,41,Month-to-month,Fiber optic,No,No,2024-11-11,Yes
CUST0383,72,One year,Fiber optic,Yes,Yes,2023-10-14,No
CUST0384,18,Month-to-month,,No,No,2022-09-15,Yes
CUST0385,56,Two year,DSL,No,No,2024-05-21,No
CUST0386,46,Month-to-month,DSL,No,Yes,2025-01-23,Yes
CUST0387,62,Two year,Fiber optic,No,No,2022-07-01,Yes
CUST0388,70,One year,DSL,No,Yes,2024-08-18,No
CUST0389,22,Month-to-month,Fiber optic,No,Yes,2022-04-16,Yes
CUST0390,11,Month-to-month,Fiber optic,No,Yes,2023-06-11,Yes
CUST0391,58,Month-to-month,Fiber optic,Yes,No,2022-03-09,Yes
CUST0392,53,One year,DSL,Yes,Yes,2022-04-22,No
CUST0393,61,Month-to-month,Fiber optic,Yes,No,2023-06-22,Yes
CUST0394,41,Two year,DSL,No,No,2023-07-13,No
CUST0395,31,One year,DSL,No,Yes,2022-01-18,No
CUST0396,29,One year,DSL,Yes,Yes,2023-03-21,No
CUST0397,17,Month-to-month,Fiber optic,Yes,Yes,2024-08-14,No
CUST0398,42,Month-to-month,DSL,Yes,No,2023-06-13,No
CUST0399,51,Month-to-month,DSL,No,Yes,2024-06-23,No
CUST0400,58,Month-to-month,Fiber optic,Yes,Yes,2023-11-07,No
CUST0401,56,Month-to-month,Fiber optic,Yes,Yes,2024-09-14,Yes
CUST0402,8,One year,DSL,No,Yes,2023-08-17,No
CUST0403,50,Two year,DSL,Yes,No,2023-01-31,Yes
CUST0404,70,One year,,No,No,2022-02-03,Yes
CUST0405,28,One year,DSL,Yes,Yes,2022-10-17,No
